ID,User,Tweet_text,Likes,Retweets
1648286335264862209,AshBeardguy,RT @MichelleHux: AI rap covers are just another example of people underestimating the skill it takes to do black shit - specifically rap. j…,0,510
1648286333474062336,zuperbigwins,"RT @bluechip_io: 💵50 USDT= 💙🔁👤?

Yep! BlueChip is giving away 50 USDT💰 

How?
💙Like this tweet
🔁retweet it
👤Subscribe to @bluechip_io

Winn…",0,2211
1648286333310484483,mmateeny,RT @hxnnuhh: anyone else see this random ass man in the air https://t.co/TYd4rtQPez,0,17
1648286327140667392,myweirdface,a random guy liked all my Instagram highlights 😳 *confused,0,0
1648286320530280449,verbtlk,Random people telling you they love your dressing sense is so top tier,0,0
1648286320400138242,Sadeeq022,RT @Maibitil_: One random city guy from Guinea Conakry. https://t.co/7pst3gHGvj,0,1
1648286319733518336,KygerLitor,"@interstellar765 @LogKa11 I posted a random video created by the people in the video, it has nothing to do with logka except in your mind.",0,0
1648286311856455681,DawiddddK,"RT @farmskins: Guys, it's time to find the SECRET WORD! 🎯📢😎
As usual, random FIVE people who write the correct answer in the comments and R…",0,146
1648286308371152897,srhprax,RT @CHRISF0GLE: Elaboration: the curtains were not fucking blue if the thing being analyzed is a work of fiction—they don’t exist. In ficti…,0,162
1648286307821420544,andykozik,Had a call with @wizofecom yesterday. Nice framework for getting more leads from Twitter. Started to think more about that UA channel when the random picture of my wife's dress attracted 3 leads to my animation studio,0,0
1648286305476923392,blessthej4ist,"welcome to the monthly ""help aris decide what to write next"" poll!!! random emojis no explanation only vibes edition 🫶🏼",0,0
1648286302133972992,mshengulala,"@_Sbu27 I didn't want to take a chance, not after the colleague I traveled with to Germany was pulled aside on arrival for some random search and questioning 😂😂😂😂😂😂😂",0,0
1648286301534429184,Jirou_30,"RT @torakaru_VT: Random fucko in my chat  - ""Are you Anti-LGBT?""

Tora - ""Uhhh, like 50%+ of my friends are part of that community. So no,…",0,2
1648286300208758785,nonelvispub,RT @Dan_Adams86: I covered the police response to the Boston marathon bombings. What I saw on the ground that week was a disorganized posse…,0,882
1648286299428909058,sabilladaniel,"RT @cocuuji: 🍒OPEN PO FML SEVENTEEN🍒

💎WEVERSE💎
- PB Random:  DP 210k| FP 320k
- PB Set: DP 710k| FP 910k
-Weverse Ver: DP 100k| FP 170k

💎…",0,57
1648286298241748992,Hustler4Life_TA,"RT @Starr_gael: Two $25,000 Evaluation Account GIVEAWAY to 2 random followers. 

Courtesy of  @BlueGuardiancom 

Criteria to Win ⬇️

•You M…",0,7
1648286295503048710,stephaniephyra_,"RT @Cheols_Hub: 🎉 Seventeen 'FML' album Giveaway🎉 
Prefer 🇲🇾 Carats 
Seventeen 'FML' Album (random) 
1 winner 🎖 

How to join: 
1. Follow m…",0,9
